text,label
belajar algoritma konten menarik dan menyenangkan sangat membantu belajar,positive
vlog pantai konten menyenangkan pemandangan indah pengalaman seru,positive
mukbang ayam goreng konten lucu menyenangkan menghibur,positive
edukasi matematika materi mudah dipahami sangat membantu belajar,positive
tutorial illustrator video jelas menyenangkan mudah diikuti,positive
belajar java lanjutan materi jelas mudah dipahami menyenangkan untuk belajar,positive
vlog hiking menyenangkan pemandangan indah pengalaman seru,positive
mukbang kue konten menghibur dan menyenangkan sangat lucu,positive
video motivasi sangat inspiratif dan menyenangkan untuk ditonton,positive
tutorial seo video bermanfaat mudah dimengerti sangat membantu,positive
belajar statistik materi jelas mudah diikuti konten menyenangkan,positive
vlog kuliner malang video menyenangkan sangat menghibur dan lucu,positive
mukbang roti menyenangkan dan lucu konten menghibur,positive
tutorial javascript lanjutan materi jelas dan mudah dimengerti sangat bermanfaat,positive
panduan excel video membantu memahami materi dengan cara mudah dan menyenangkan,positive
belajar python gui penjelasan mudah dan menyenangkan konten bermanfaat,positive
vlog alam bogor menyenangkan pemandangan indah pengalaman seru dan menghibur,positive
mukbang seafood konten menyenangkan sangat menghibur lucu,positive
edukasi bahasa korea materi jelas mudah dimengerti sangat menyenangkan,positive
tutorial canva video mudah dipahami sangat membantu dan menyenangkan,positive
belajar php penjelasan mudah konten menyenangkan dan bermanfaat,positive
vlog kota bandung menyenangkan pengalaman seru konten menarik,positive
mukbang ice cream sangat lucu menghibur dan menyenangkan,positive
tutorial nodejs materi jelas mudah dipahami konten menyenangkan dan bermanfaat,positive
panduan python flask video mudah diikuti menyenangkan dan membantu belajar,positive
belajar r programming penjelasan jelas mudah dimengerti menyenangkan,positive
video kuliner konten lucu menyenangkan sangat menghibur,positive
vlog pantai bali menyenangkan pemandangan indah pengalaman seru,positive
mukbang ayam bakar konten menghibur dan menyenangkan lucu,positive
tutorial data science lanjutan materi jelas mudah dipahami sangat bermanfaat,positive
panduan java spring video jelas dan menyenangkan sangat membantu belajar,positive
belajar react native penjelasan mudah menyenangkan dan bermanfaat,positive
vlog gunung menyenangkan pemandangan indah pengalaman seru,positive
mukbang burger cheese konten lucu menyenangkan menghibur,positive
edukasi sejarah materi jelas menyenangkan dan sangat informatif,positive
tutorial github video mudah diikuti menyenangkan sangat membantu,positive
belajar css lanjutan penjelasan jelas mudah dimengerti menyenangkan,positive
vlog kota yogyakarta video biasa saja memperlihatkan aktivitas seharihari,neutral
mukbang nasi padang video cukup informatif tapi tidak terlalu menarik,neutral
tutorial word materi standar cukup jelas tapi tidak spesial,neutral
panduan fisika penjelasan video biasa saja cukup membantu tapi tidak luar biasa,neutral
belajar kimia video lumayan beberapa bagian cukup jelas tapi tidak semuanya,neutral
video sejarah materi cukup informatif tapi tidak ada yang istimewa,neutral
tutorial excel materi cukup jelas cocok untuk belajar tapi tidak menonjol,neutral
belajar bahasa inggris video standar informasi dasar cukup membantu,neutral
panduan statistik video biasa cukup membantu memahami konsep dasar,neutral
tutorial css video lumayan materi cukup jelas tapi tidak menarik,neutral
vlog kota bandung konten biasa hanya merekam aktivitas harian,neutral
mukbang ramen video biasa cukup menghibur tapi tidak luar biasa,neutral
tutorial java materi cukup standar mudah diikuti tapi tidak spesial,neutral
belajar python video biasa saja cukup membantu untuk pemula,neutral
panduan react video cukup informatif tapi tidak terlalu menarik,neutral
vlog kuliner jakarta video standar cukup menyenangkan tapi tidak luar biasa,neutral
mukbang pizza video cukup biasa tidak terlalu menghibur atau membosankan,neutral
tutorial figma video lumayan materi cukup jelas tapi tidak menonjol,neutral
belajar php materi cukup standar cukup membantu pemula,neutral
panduan nodejs video biasa penjelasan cukup jelas tapi tidak menonjol,neutral
vlog pantai konten standar cukup menyenangkan tapi tidak spesial,neutral
mukbang ayam goreng video biasa tidak terlalu menarik tapi tidak buruk,neutral
tutorial illustrator materi cukup jelas cocok untuk belajar tapi tidak luar biasa,neutral
belajar javascript video standar cukup membantu tapi tidak menonjol,neutral
panduan machine learning video biasa cukup jelas tapi tidak istimewa,neutral
vlog alam konten biasa saja pemandangan menarik tapi standar,neutral
mukbang burger video lumayan cukup menghibur tapi tidak spesial,neutral
tutorial seo video standar materi cukup membantu tapi biasa saja,neutral
belajar r programming materi cukup jelas membantu tapi tidak menonjol,neutral
panduan python flask video lumayan cukup mudah diikuti tapi standar,neutral
vlog gunung konten biasa pemandangan cukup menarik tapi tidak luar biasa,neutral
mukbang kue video standar cukup lucu tapi tidak spesial,neutral
tutorial nodejs lanjutan video cukup jelas membantu tapi biasa saja,neutral
belajar statistik materi standar cukup membantu pemula tapi tidak menonjol,neutral
panduan react hooks video biasa saja cukup jelas tapi tidak istimewa,neutral
vlog kota semarang konten standar aktivitas seharihari biasa,neutral
mukbang roti video biasa cukup menghibur tapi tidak spesial,neutral
tutorial canva materi cukup jelas mudah diikuti tapi biasa saja,neutral
belajar css lanjutan video standar cukup membantu tapi tidak menonjol,neutral
panduan java spring video biasa materi cukup jelas tapi tidak spesial,neutral
vlog kuliner malang konten biasa saja cukup menyenangkan tapi tidak luar biasa,neutral
mukbang ice cream video lumayan cukup lucu tapi standar,neutral
tutorial github materi standar cukup membantu tapi tidak menonjol,neutral
belajar fisika video biasa cukup jelas tapi tidak luar biasa,neutral
panduan sql materi cukup standar cukup membantu tapi biasa saja,neutral
vlog kota surabaya konten biasa cukup menarik tapi tidak spesial,neutral
mukbang seafood video lumayan cukup menghibur tapi biasa saja,neutral
tutorial python gui materi cukup jelas membantu tapi tidak luar biasa,neutral
belajar machine learning video standar cukup membantu untuk belajar tapi biasa saja,neutral
panduan bahasa jepang video biasa cukup jelas tapi tidak menonjol,neutral
vlog pantai lombok konten standar cukup menyenangkan tapi biasa saja,neutral
mukbang ayam bakar video lumayan cukup menghibur tapi standar,neutral
tutorial matematika dasar materi cukup jelas membantu tapi biasa saja,neutral
belajar biologi video standar cukup informatif tapi tidak luar biasa,neutral
panduan fisika lanjutan materi biasa cukup jelas tapi tidak spesial,neutral
vlog gunung merbabu konten biasa cukup menyenangkan tapi tidak luar biasa,neutral
mukbang nasi goreng video standar cukup menghibur tapi biasa saja,neutral
tutorial r programming materi cukup jelas membantu tapi tidak menonjol,neutral
belajar bahasa korea video biasa cukup informatif tapi tidak luar biasa,neutral
panduan css video standar cukup mudah diikuti tapi biasa saja,neutral
vlog kuliner solo konten biasa cukup menghibur tapi tidak menonjol,neutral
video kekerasan menampilkan adegan menegangkan dan membuat takut,negative
drama remaja cerita membingungkan sulit dipahami membuat frustrasi,negative
mukbang ekstrem konten menjijikkan dan tidak nyaman ditonton,negative
video menakutkan materi membuat cemas dan tidak menyenangkan,negative
vlog kota rusuh aktivitas seharihari menegangkan dan membuat khawatir,negative
tutorial rumit materi sulit dipahami membingungkan dan melelahkan,negative
belajar matematika sulit video sangat kompleks membuat frustrasi pemula,negative
drama kekerasan cerita penuh konflik membuat tidak nyaman,negative
mukbang pedas ekstrem konten menyakitkan dan tidak menyenangkan,negative
video kontroversial materi memancing emosi negatif membuat cemas,negative
vlog horor suasana menyeramkan membuat takut dan tidak nyaman,negative
tutorial kompleks materi sulit dimengerti membingungkan pemula,negative
belajar fisika sulit penjelasan rumit membuat frustrasi pemirsa,negative
drama remaja rumit cerita membingungkan dan membuat kesal,negative
mukbang tidak layak konten menjijikkan dan membuat tidak nyaman,negative
video kekerasan ekstrem menampilkan adegan mengerikan membuat takut,negative
vlog kota gelap suasana menakutkan dan membingungkan,negative
tutorial rumit dan panjang materi terlalu panjang sulit diikuti,negative
belajar kimia sulit video membingungkan dan membuat frustrasi,negative
drama memicu emosi negatif cerita memancing rasa marah atau sedih,negative
mukbang berbahaya konten tidak aman dan membuat cemas,negative
video menakutkan ekstrem adegan sangat menegangkan dan mengganggu,negative
vlog kota kacau konten membingungkan dan membuat tidak nyaman,negative
tutorial membosankan materi membosankan membuat pemirsa bosan,negative
belajar bahasa sulit video sulit diikuti membingungkan pemula,negative
drama menyebalkan cerita membuat frustrasi dan kesal,negative
mukbang menjijikkan konten tidak enak ditonton membuat tidak nyaman,negative
video kontroversial panjang materi memancing emosi negatif membosankan,negative
vlog horor ekstrem suasana sangat menakutkan dan tidak nyaman,negative
tutorial terlalu rumit materi membingungkan sulit diikuti,negative
belajar matematika rumit video membingungkan membuat frustrasi,negative
drama remaja negatif cerita menyebalkan dan membingungkan,negative
mukbang ekstrem tidak layak konten menjijikkan dan membuat cemas,negative
video kekerasan panjang menampilkan adegan mengerikan membuat takut,negative
vlog kota gelap dan menakutkan suasana menyeramkan membuat khawatir,negative
tutorial rumit membosankan materi panjang sulit diikuti membosankan,negative
belajar fisika kompleks video sulit dipahami membuat frustrasi,negative
drama membingungkan cerita tidak jelas dan membuat kesal,negative
mukbang pedas tidak aman konten menyakitkan dan tidak menyenangkan,negative
video seram adegan menakutkan dan tidak nyaman ditonton,negative
vlog kota kacau dan gelap konten membingungkan dan membuat tidak nyaman,negative
tutorial membosankan dan rumit materi membingungkan dan membuat bosan,negative
belajar bahasa rumit video sulit diikuti membuat frustrasi pemula,negative
drama membosankan cerita membosankan dan membingungkan,negative
mukbang menjijikkan ekstrem konten menjijikkan dan tidak nyaman,negative
video kontroversial mengganggu materi memancing emosi negatif dan stres,negative
vlog horor menakutkan suasana sangat menyeramkan membuat takut,negative
tutorial rumit sulit dimengerti materi sulit diikuti membingungkan,negative
belajar matematika menyulitkan video membingungkan membuat frustrasi,negative
drama remaja membingungkan cerita sulit diikuti dan menyebalkan,negative
mukbang berbahaya dan menjijikkan konten ekstrem tidak nyaman ditonton,negative
video kekerasan ekstrem panjang adegan mengerikan dan menakutkan,negative
vlog kota gelap dan menakutkan ekstrem konten sangat menyeramkan dan membingungkan,negative
tutorial panjang dan rumit materi sulit diikuti dan membosankan,negative
belajar fisika rumit dan sulit video membingungkan dan membuat frustrasi,negative
pengalaman buruk di restoran x pelayanannya sangat lambat makanan tidak enak dan suasananya kotor saya sangat kecewa dan tidak akan pernah kembali lagi sangat membuang waktu,negative
review hotel buruk kamar kotor pelayanan tidak ramah ac mati sangat mengecewakan,negative
kecewa berat barang rusak saat sampai pengiriman lambat seller tidak respon tidak recommended,negative
restoran tidak enak rasa makanan hambar harga mahal pelayan kasar sangat tidak worth it,negative
layanan mengecewakan customer service lambat tidak membantu buangbuang waktu saya,negative
produk gagal kualitas barang sangat jelek tidak sesuai deskripsi penipuan,negative
pembelajaran react video pembelajaran react yang sangat membantu mudah dipahami dan menyenangkan,positive
pembelajaran javascript tutorial javascript lengkap dan jelas cocok untuk pemula yang baru belajar,positive
pembelajaran python materi python disajikan dengan baik sangat bermanfaat untuk belajar coding,positive
pembelajaran web development kursus web development yang komprehensif dan mudah diikuti sangat recommended,positive
pembelajaran machine learning penjelasan ml yang mudah dipahami sangat membantu memahami konsep dasar,positive
pembelajaran data science video data science yang informatif dan menyenangkan untuk ditonton,positive
pembelajaran mobile development tutorial mobile dev yang lengkap sangat membantu untuk belajar,positive
pembelajaran database materi database disajikan dengan jelas mudah dipahami pemula,positive
pembelajaran api tutorial api yang sangat bermanfaat dan mudah diikuti,positive
pembelajaran cloud computing video cloud computing yang informatif dan menyenangkan,positive
tutorial pemrograman panduan pemrograman yang sangat membantu dan mudah dipahami,positive
tutorial coding video tutorial coding yang menyenangkan dan edukatif,positive
tutorial programming materi programming lengkap dan mudah diikuti sangat bermanfaat,positive
belajar coding video belajar coding yang seru dan mudah dipahami,positive
belajar pemrograman tutorial pemrograman yang sangat membantu untuk pemula,positive
kelas online programming kelas online programming yang lengkap dan menyenangkan,positive
kursus web kursus web development yang sangat bermanfaat dan mudah diikuti,positive
edukasi teknologi video edukasi teknologi yang informatif dan menyenangkan,positive
edukasi coding materi coding yang disajikan dengan baik sangat membantu belajar,positive
edukasi programming tutorial programming yang lengkap dan mudah dipahami,positive
belajar online platform belajar online yang sangat membantu dan menyenangkan,positive
kelas pemrograman kelas pemrograman yang informatif dan mudah diikuti,positive
tutorial belajar video tutorial belajar yang sangat bermanfaat untuk pemula,positive
panduan belajar panduan belajar yang lengkap dan mudah dipahami,positive
materi pembelajaran materi pembelajaran yang disajikan dengan baik dan menyenangkan,positive
video edukatif video edukatif yang sangat informatif dan mudah dimengerti,positive
konten edukasi konten edukasi berkualitas yang sangat membantu belajar,positive
video tutorial video tutorial yang lengkap dan mudah diikuti sangat recommended,positive
pembelajaran dasar materi pembelajaran dasar yang sangat membantu untuk pemula,positive
berita pembunuhan berita tentang kasus pembunuhan yang mengejutkan dan mengerikan,negative
kasus pembunuhan laporan lengkap tentang kasus pembunuhan sadis yang terjadi,negative
pembunuhan di desa berita pembunuhan yang terjadi di desa terpencil sangat menyedihkan,negative
tragedi pembunuhan tragedi pembunuhan berantai yang menghebohkan masyarakat,negative
berita kriminal berita kriminal tentang perampokan dan kekerasan yang terjadi,negative
kasus kriminal laporan kasus kriminal yang melibatkan kekerasan dan intimidasi,negative
berita kecelakaan berita kecelakaan lalu lintas yang menelan korban jiwa,negative
tragedi kecelakaan tragedi kecelakaan pesawat yang menewaskan banyak penumpang,negative
berita bencana berita bencana alam yang menyebabkan kerusakan parah,negative
bencana alam laporan bencana alam gempa bumi yang merusak banyak rumah,negative
berita perampokan berita perampokan bersenjata yang membuat warga ketakutan,negative
berita penculikan kasus penculikan anak yang membuat orang tua khawatir,negative
berita korupsi laporan korupsi pejabat yang merugikan negara miliaran rupiah,negative
skandal politik skandal politik yang melibatkan pejabat tinggi negara,negative
berita perang berita perang yang menunjukkan kerusakan dan korban jiwa,negative
konflik bersenjata laporan konflik bersenjata yang menelan banyak korban,negative
berita terorisme berita serangan teror yang mengejutkan dan menakutkan,negative
aksi teror laporan aksi teror yang membuat masyarakat trauma,negative
berita kebakaran berita kebakaran besar yang menghanguskan pemukiman warga,negative
tragedi kebakaran tragedi kebakaran pabrik yang menyebabkan korban lukaluka,negative
